# Shelton Biochemistry 2001, 1BC 
# Protection from EDTA cleavage as a function [Na+]
# concentration in M. Y = fraction folded
[Na]/M	Y
0.009828234	0.0047249566
0.030081576	0.24707586
0.050809585	0.094232775
0.07151766	0.3174059
0.08965446	0.08074117
0.110452004	0.15056166
0.16048865	0.13691951
0.20994167	0.17892298
0.2585657	0.2858946
0.31377545	0.37427908
0.42286578	0.4302374
0.52008706	0.709033
0.6032027	0.8531094
0.8005045	0.96478283
1.000823	1.0624783
1.1797765	1.0440301
1.3918169	0.92806023
1.5903642	1.0674812
1.8472043	1.0304458
1.9910064	0.9979965
2.1774151	1.0166416
2.4542403	0.99815863
2.7210753	1.1700637
3.0201833	1.2072959
